Scenario,k_per_m3,K1,K2,c
S1,104.73104445100672,164,282,20.93854472327889
S2,114.08889869541208,210,340,38.55473803865312
S3,120.0,190,200,12.0
S4,127.10940823835487,195,389,32.54581908164205
S5,128.04742695629776,186,434,41.67127964827691
S6,131.35203325948387,191,449,41.99436244810933
S7,133.8329878178099,201,392,42.62563021825759
S8,134.38986485210478,234,297,36.65400035739103
S9,135.09106458291387,248,391,21.969338165710912
S10,138.55015755986852,180,385,33.163876677431865
S11,138.76263420786557,240,384,26.725481261834872
S12,152.38527958462555,162,418,34.53569216432566
S13,156.19866426022247,244,340,35.94121194804842
S14,160.42833960060136,188,376,61.93684871774589
S15,169.49523564172057,250,288,61.20737220151247
S16,180.12555630750632,237,312,28.788544208056948
S17,183.81368574914893,219,385,18.944824600103757
S18,188.2422005555005,239,275,28.36298372842693
S19,188.90047736368027,218,407,19.61443502654323
S20,189.5506625901576,228,261,52.48695414780364
S21,194.06506285049645,177,432,38.72554258816484
