k_per_m3,K1,K2,c,Best_Threshold_3PL,Min_3PL_Cost,Best_Threshold_Truck,Min_Truck_Cost
100.03564212189583,205,357,10.697004177971808,1800,141.63,1800,9.92
101.10542193241479,188,298,17.583375406485512,1800,143.15,1800,8.28
117.38616878230562,241,341,36.43382862600463,1800,166.2,1800,9.47
120.0,190,200,12.0,1800,169.9,1800,5.56
124.13276518895591,159,289,16.919681443386054,1800,175.75,1800,8.03
124.73990790824973,231,316,40.9154506494795,1800,176.61,1800,8.78
125.12775138041988,246,366,32.810062763756214,1800,177.16,1800,10.17
126.40629918491712,178,327,38.4248976188965,1800,178.97,1800,9.08
129.57288691909113,245,346,15.156374993319329,1800,183.45,1800,9.61
130.34342756721145,204,294,46.161074940247566,1800,184.55,1800,8.17
133.49481698975404,224,335,18.51630424503704,1800,189.01,1800,9.31
134.71551897755802,154,274,40.38371560007561,1800,190.74,1800,7.61
142.1664114032505,248,272,52.04240711362836,1800,201.29,1800,7.56
142.57040189581113,193,309,28.478017426139267,1800,201.86,1800,8.58
157.2257370013992,178,393,50.73525657023053,1800,222.61,1800,10.92
160.33379283916702,206,376,41.37344906556895,1800,227.01,1800,10.44
166.76673841858377,192,311,60.03435160204072,1800,236.12,1800,8.64
169.89054809525385,163,265,49.73267926822377,1800,240.54,1800,7.36
173.05530753089556,208,335,51.55355247433539,1800,245.02,1800,9.31
183.1455331663746,150,373,40.75682150773808,1800,259.3,1800,10.36
185.24490964550907,158,393,62.35872340635261,1800,262.28,1800,10.92
