,"(0, 0)","(0, 1)","(0, 2)","(0, 3)","(0, 4)","(50, 0)","(50, 1)","(50, 2)","(50, 3)","(50, 4)","(100, 0)","(100, 1)","(100, 2)","(100, 3)","(100, 4)","(150, 0)","(150, 1)","(150, 2)","(150, 3)","(150, 4)","(200, 0)","(200, 1)","(200, 2)","(200, 3)","(200, 4)","(250, 0)","(250, 1)","(250, 2)","(250, 3)","(250, 4)","(300, 0)","(300, 1)","(300, 2)","(300, 3)","(300, 4)","(350, 0)","(350, 1)","(350, 2)","(350, 3)","(350, 4)","(400, 0)","(400, 1)","(400, 2)","(400, 3)","(400, 4)","(450, 0)","(450, 1)","(450, 2)","(450, 3)","(450, 4)","(500, 0)","(500, 1)","(500, 2)","(500, 3)","(500, 4)","(550, 0)","(550, 1)","(550, 2)","(550, 3)","(550, 4)","(600, 0)","(600, 1)","(600, 2)","(600, 3)","(600, 4)","(650, 0)","(650, 1)","(650, 2)","(650, 3)","(650, 4)","(700, 0)","(700, 1)","(700, 2)","(700, 3)","(700, 4)","(750, 0)","(750, 1)","(750, 2)","(750, 3)","(750, 4)","(800, 0)","(800, 1)","(800, 2)","(800, 3)","(800, 4)","(850, 0)","(850, 1)","(850, 2)","(850, 3)","(850, 4)","(900, 0)","(900, 1)","(900, 2)","(900, 3)","(900, 4)","(950, 0)","(950, 1)","(950, 2)","(950, 3)","(950, 4)","(1000, 0)","(1000, 1)","(1000, 2)","(1000, 3)","(1000, 4)","(1050, 0)","(1050, 1)","(1050, 2)","(1050, 3)","(1050, 4)","(1100, 0)","(1100, 1)","(1100, 2)","(1100, 3)","(1100, 4)","(1150, 0)","(1150, 1)","(1150, 2)","(1150, 3)","(1150, 4)","(1200, 0)","(1200, 1)","(1200, 2)","(1200, 3)","(1200, 4)","(1250, 0)","(1250, 1)","(1250, 2)","(1250, 3)","(1250, 4)","(1300, 0)","(1300, 1)","(1300, 2)","(1300, 3)","(1300, 4)","(1350, 0)","(1350, 1)","(1350, 2)","(1350, 3)","(1350, 4)","(1400, 0)","(1400, 1)","(1400, 2)","(1400, 3)","(1400, 4)","(1450, 0)","(1450, 1)","(1450, 2)","(1450, 3)","(1450, 4)","(1500, 0)","(1500, 1)","(1500, 2)","(1500, 3)","(1500, 4)","(1550, 0)","(1550, 1)","(1550, 2)","(1550, 3)","(1550, 4)","(1600, 0)","(1600, 1)","(1600, 2)","(1600, 3)","(1600, 4)","(1650, 0)","(1650, 1)","(1650, 2)","(1650, 3)","(1650, 4)","(1700, 0)","(1700, 1)","(1700, 2)","(1700, 3)","(1700, 4)","(1750, 0)","(1750, 1)","(1750, 2)","(1750, 3)","(1750, 4)","(1800, 0)","(1800, 1)","(1800, 2)","(1800, 3)","(1800, 4)"
"(0, 0)",0.1353352832366127,0.0,0.0,0.0,0.0,0.08120116994196762,0.0,0.0,0.0,0.0,0.159695634219203,0.0,0.0,0.0,0.0,0.14406501999966997,0.0,0.0,0.0,0.0,0.14379679341037982,0.0,0.0,0.0,0.0,0.14434139317957037,0.0,0.0,0.0,0.0,0.10944051572309464,0.0,0.0,0.0,0.0,0.06013818658995019,0.0,0.0,0.0,0.0,0.019399415029016195,0.0,0.0,0.0,0.0,0.0025865886705354925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 1)",0.1353352832366127,0.0,0.0,0.0,0.0,0.08120116994196762,0.0,0.0,0.0,0.0,0.159695634219203,0.0,0.0,0.0,0.0,0.14406501999966997,0.0,0.0,0.0,0.0,0.14379679341037982,0.0,0.0,0.0,0.0,0.14434139317957037,0.0,0.0,0.0,0.0,0.10944051572309464,0.0,0.0,0.0,0.0,0.06013818658995019,0.0,0.0,0.0,0.0,0.019399415029016195,0.0,0.0,0.0,0.0,0.0025865886705354925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 2)",0.0,0.1353352832366127,0.0,0.0,0.0,0.0,0.08120116994196762,0.0,0.0,0.0,0.0,0.159695634219203,0.0,0.0,0.0,0.0,0.14406501999966997,0.0,0.0,0.0,0.0,0.14379679341037982,0.0,0.0,0.0,0.0,0.14434139317957037,0.0,0.0,0.0,0.0,0.10944051572309464,0.0,0.0,0.0,0.0,0.06013818658995019,0.0,0.0,0.0,0.0,0.019399415029016195,0.0,0.0,0.0,0.0,0.0025865886705354925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 3)",0.0,0.0,0.1353352832366127,0.0,0.0,0.0,0.0,0.08120116994196762,0.0,0.0,0.0,0.0,0.159695634219203,0.0,0.0,0.0,0.0,0.14406501999966997,0.0,0.0,0.0,0.0,0.14379679341037982,0.0,0.0,0.0,0.0,0.14434139317957037,0.0,0.0,0.0,0.0,0.10944051572309464,0.0,0.0,0.0,0.0,0.06013818658995019,0.0,0.0,0.0,0.0,0.019399415029016195,0.0,0.0,0.0,0.0,0.0025865886705354925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 4)",0.0,0.0,0.0,0.1353352832366127,0.0,0.0,0.0,0.0,0.08120116994196762,0.0,0.0,0.0,0.0,0.159695634219203,0.0,0.0,0.0,0.0,0.14406501999966997,0.0,0.0,0.0,0.0,0.14379679341037982,0.0,0.0,0.0,0.0,0.14434139317957037,0.0,0.0,0.0,0.0,0.10944051572309464,0.0,0.0,0.0,0.0,0.06013818658995019,0.0,0.0,0.0,0.0,0.019399415029016195,0.0,0.0,0.0,0.0,0.0025865886705354925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(50, 0)",0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.0,0.0,0.0,0.0,0.08120116994196762,0.0,0.0,0.0,0.0,0.159695634219203,0.0,0.0,0.0,0.0,0.14406501999966997,0.0,0.0,0.0,0.0,0.14379679341037982,0.0,0.0,0.0,0.0,0.14434139317957037,0.0,0.0,0.0,0.0,0.10944051572309464,0.0,0.0,0.0,0.0,0.06013818658995019,0.0,0.0,0.0,0.0,0.019399415029016195,0.0,0.0,0.0,0.0,0.0025865886705354925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(50, 1)",0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.0,0.0,0.0,0.0,0.08120116994196762,0.0,0.0,0.0,0.0,0.159695634219203,0.0,0.0,0.0,0.0,0.14406501999966997,0.0,0.0,0.0,0.0,0.14379679341037982,0.0,0.0,0.0,0.0,0.14434139317957037,0.0,0.0,0.0,0.0,0.10944051572309464,0.0,0.0,0.0,0.0,0.06013818658995019,0.0,0.0,0.0,0.0,0.019399415029016195,0.0,0.0,0.0,0.0,0.0025865886705354925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(50, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.0,0.0,0.0,0.0,0.08120116994196762,0.0,0.0,0.0,0.0,0.159695634219203,0.0,0.0,0.0,0.0,0.14406501999966997,0.0,0.0,0.0,0.0,0.14379679341037982,0.0,0.0,0.0,0.0,0.14434139317957037,0.0,0.0,0.0,0.0,0.10944051572309464,0.0,0.0,0.0,0.0,0.06013818658995019,0.0,0.0,0.0,0.0,0.019399415029016195,0.0,0.0,0.0,0.0,0.0025865886705354925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(50, 3)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.0,0.0,0.0,0.0,0.08120116994196762,0.0,0.0,0.0,0.0,0.159695634219203,0.0,0.0,0.0,0.0,0.14406501999966997,0.0,0.0,0.0,0.0,0.14379679341037982,0.0,0.0,0.0,0.0,0.14434139317957037,0.0,0.0,0.0,0.0,0.10944051572309464,0.0,0.0,0.0,0.0,0.06013818658995019,0.0,0.0,0.0,0.0,0.019399415029016195,0.0,0.0,0.0,0.0,0.0025865886705354925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(50, 4)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.0,0.0,0.0,0.0,0.08120116994196762,0.0,0.0,0.0,0.0,0.159695634219203,0.0,0.0,0.0,0.0,0.14406501999966997,0.0,0.0,0.0,0.0,0.14379679341037982,0.0,0.0,0.0,0.0,0.14434139317957037,0.0,0.0,0.0,0.0,0.10944051572309464,0.0,0.0,0.0,0.0,0.06013818658995019,0.0,0.0,0.0,0.0,0.019399415029016195,0.0,0.0,0.0,0.0,0.0025865886705354925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
