Threshold,3PL_Cost,Truck_Cost,Expected_Shipments_per_Day
0,3457.48,489.32,1.0
50,3457.48,489.32,1.0
100,3452.76,485.15,0.9722
150,3443.33,480.98,0.9444
200,3429.17,476.82,0.9167
250,3410.29,472.65,0.8889
300,3386.69,468.48,0.8611
350,3358.37,464.32,0.8333
400,3325.34,460.15,0.8056
450,3287.58,455.98,0.7778
500,3245.11,451.82,0.75
550,3197.91,447.65,0.7222
600,3146.0,443.48,0.6944
650,3089.37,439.32,0.6667
700,3028.01,435.15,0.6389
750,2961.94,430.98,0.6111
800,2891.15,426.82,0.5833
850,2815.64,422.65,0.5556
900,2735.4,418.48,0.5278
950,2650.45,414.32,0.5
1000,2560.78,408.76,0.4722
1050,2466.4,403.21,0.4444
1100,2367.29,397.65,0.4167
1150,2263.46,392.09,0.3889
1200,2154.91,386.54,0.3611
1250,2041.64,380.98,0.3333
1300,1923.66,375.43,0.3056
1350,1800.95,369.87,0.2778
1400,1673.52,364.32,0.25
1450,1541.38,358.76,0.2222
1500,1404.51,353.21,0.1944
1550,1262.93,347.65,0.1667
1600,1116.63,342.09,0.1389
1650,965.6,336.54,0.1111
1700,809.86,330.98,0.0833
1750,649.4,325.43,0.0556
1800,484.22,319.87,0.0278
